sex,address,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,G
F,U,T,college,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,average,low,average,average,0,C
M,R,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,very high,low,very bad,0,C
M,U,T,college,college,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,good,very high,very high,bad,0,C
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,low,high,very bad,0,B
M,U,T,elementary,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,average,high,low,very good,2,F
M,U,T,high school,junior high,15 to 30 min,5 to 10 hours,0,no,no,no,yes,yes,yes,excellent,average,average,bad,0,C
M,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,high,low,good,0,A
F,U,T,junior high,elementary,<15 min,<2 hours,0,no,no,no,no,yes,yes,good,very high,low,very good,4,D
F,U,A,college,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,excellent,average,average,very good,0,C
F,U,A,junior high,college,15 to 30 min,2 to 5 hours,1,no,yes,no,no,yes,no,good,average,average,average,18,D
F,U,T,junior high,junior high,<15 min,2 to 5 hours,1,no,yes,no,no,yes,yes,excellent,average,very low,very good,16,F
F,U,T,high school,high school,15 to 30 min,<2 hours,1,no,no,no,no,no,no,good,very low,very low,average,14,F
M,U,T,junior high,junior high,<15 min,<2 hours,1,no,yes,no,yes,no,yes,good,high,average,very bad,26,F
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,yes,yes,no,good,low,very low,very good,6,F
F,U,T,high school,junior high,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,excellent,high,low,average,4,B
F,U,T,elementary,elementary,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,average,low,good,10,D
F,U,T,elementary,junior high,<15 min,<2 hours,0,no,no,no,no,no,no,excellent,average,very high,very good,4,D
F,R,T,junior high,elementary,30 min to 1 hr,2 to 5 hours,0,no,no,no,yes,yes,no,bad,very low,very low,average,2,C
F,R,A,elementary,college,>1 hour,<2 hours,1,no,yes,no,no,yes,no,excellent,very high,high,very good,14,F
M,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,no,no,no,excellent,very high,high,bad,16,F
F,U,A,junior high,junior high,<15 min,<2 hours,1,no,yes,no,no,no,no,average,very low,low,very bad,8,F
F,R,T,elementary,elementary,15 to 30 min,5 to 10 hours,0,no,no,no,yes,yes,no,good,average,average,very good,4,B
F,U,A,college,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,low,good,4,B
M,U,T,college,high school,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,yes,bad,very high,very high,very good,8,B
M,R,A,college,college,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,average,average,average,good,0,C
M,U,T,college,high school,<15 min,<2 hours,0,no,no,no,yes,yes,no,excellent,high,very high,average,7,B
M,U,T,college,college,<15 min,<2 hours,0,no,no,yes,yes,yes,no,excellent,average,low,very good,4,B
F,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,excellent,average,very low,very good,2,C
M,R,T,elementary,elementary,15 to 30 min,5 to 10 hours,0,no,no,no,no,yes,yes,good,average,average,very bad,2,B
F,U,T,high school,high school,15 to 30 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,low,low,very good,10,D
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,yes,no,no,no,yes,yes,good,average,low,good,10,F
F,U,T,junior high,elementary,15 to 30 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,high,high,average,10,D
M,U,T,junior high,elementary,30 min to 1 hr,<2 hours,0,no,no,no,no,yes,no,good,average,average,good,7,A
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,high,very good,4,D
M,U,T,junior high,high school,15 to 30 min,<2 hours,0,no,no,no,no,yes,no,excellent,low,low,bad,2,C
M,U,T,high school,elementary,<15 min,<2 hours,3,no,no,no,no,no,yes,excellent,high,very high,very bad,12,F
M,R,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,average,average,very good,8,F
M,U,T,none,junior high,<15 min,<2 hours,0,no,no,no,no,yes,no,good,average,low,very good,0,D
M,U,T,high school,junior high,15 to 30 min,<2 hours,0,no,no,no,no,no,no,good,high,very high,very good,8,F
M,U,T,high school,high school,30 min to 1 hr,2 to 5 hours,1,yes,yes,no,no,yes,no,excellent,average,average,bad,4,D
M,U,T,junior high,elementary,<15 min,<2 hours,2,no,no,no,no,no,no,average,low,very high,very good,4,F
M,R,T,junior high,elementary,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,average,average,low,average,2,C
M,R,T,junior high,elementary,<15 min,<2 hours,0,no,no,no,no,yes,no,good,high,low,very good,0,C
M,U,T,elementary,elementary,15 to 30 min,<2 hours,1,no,yes,no,yes,yes,no,good,high,high,very good,0,D
F,U,A,junior high,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,average,high,very good,2,C
F,U,T,college,junior high,<15 min,10 hours,0,no,yes,no,yes,yes,no,good,low,average,good,2,A
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,average,very good,0,D
M,U,T,junior high,elementary,30 min to 1 hr,2 to 5 hours,1,no,no,no,yes,no,no,good,high,very high,very good,4,D
F,R,T,college,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,good,average,high,very good,2,B
F,U,T,elementary,elementary,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,high,average,average,4,B
F,R,T,junior high,junior high,<15 min,2 to 5 hours,0,yes,no,no,no,yes,no,average,low,average,very good,4,C
M,U,A,college,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,very low,very bad,4,B
M,U,T,junior high,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,excellent,low,high,good,2,A
M,R,T,junior high,junior high,15 to 30 min,<2 hours,0,no,no,no,no,no,no,excellent,low,low,good,0,D
F,U,T,junior high,junior high,<15 min,10 hours,0,no,no,no,yes,yes,yes,average,high,very low,bad,2,C
F,R,T,junior high,elementary,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,no,yes,very bad,low,average,bad,8,C
F,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,average,very low,low,bad,2,B
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,low,average,2,D
M,R,T,high school,junior high,<15 min,5 to 10 hours,0,no,no,no,yes,yes,no,excellent,average,low,average,2,C
F,U,T,high school,high school,<15 min,5 to 10 hours,0,no,no,no,yes,yes,no,average,low,average,good,2,C
F,U,T,junior high,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,average,average,average,0,C
M,U,T,junior high,junior high,15 to 30 min,<2 hours,0,no,no,no,no,no,no,good,high,high,good,8,F
M,R,A,high school,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,low,very high,very bad,6,A
M,U,T,high school,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,excellent,high,high,very good,0,B
F,R,T,college,college,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,average,high,good,8,C
M,U,T,college,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,excellent,high,very high,very good,4,B
F,R,T,junior high,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,no,no,yes,good,average,very high,average,12,F
F,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,very high,very good,16,C
F,U,T,junior high,high school,<15 min,10 hours,0,no,yes,no,yes,yes,yes,good,very high,very high,bad,10,A
F,U,T,elementary,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,average,average,2,C
M,R,T,elementary,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,average,very high,low,very bad,2,A
F,U,T,junior high,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,low,very high,very bad,8,B
F,U,T,junior high,college,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,average,average,very bad,6,A
F,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,good,high,high,very good,6,C
F,R,A,high school,junior high,15 to 30 min,2 to 5 hours,0,no,no,no,no,no,yes,good,very low,very low,very good,15,F
M,U,T,college,college,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,average,low,high,average,6,C
F,U,T,college,college,<15 min,2 to 5 hours,1,yes,yes,no,yes,yes,yes,bad,high,high,good,2,C
F,U,T,junior high,junior high,30 min to 1 hr,5 to 10 hours,0,no,yes,no,no,yes,yes,good,low,average,very bad,8,B
F,R,T,high school,junior high,<15 min,2 to 5 hours,1,yes,yes,no,no,no,no,average,average,average,average,0,F
M,U,T,college,high school,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,good,low,average,very bad,0,D
M,U,T,elementary,junior high,15 to 30 min,<2 hours,0,no,no,no,no,no,no,average,high,high,good,10,D
M,U,A,college,elementary,15 to 30 min,<2 hours,0,no,no,no,yes,yes,yes,good,very high,high,very good,22,D
M,U,A,high school,junior high,<15 min,<2 hours,0,no,no,no,no,yes,no,good,high,high,average,18,C
F,R,T,elementary,elementary,15 to 30 min,10 hours,0,no,yes,no,yes,yes,no,excellent,low,low,average,2,A
F,U,T,elementary,elementary,15 to 30 min,2 to 5 hours,0,yes,no,no,yes,yes,no,excellent,high,high,good,0,C
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,high,very high,very good,12,B
F,U,T,junior high,elementary,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,average,very low,very good,10,B
M,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,good,average,average,good,0,C
F,U,T,junior high,junior high,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,average,average,bad,0,A
F,U,T,elementary,elementary,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,average,average,average,0,B
M,U,T,junior high,elementary,<15 min,5 to 10 hours,0,no,no,no,yes,yes,no,good,low,high,bad,0,B
M,U,A,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,average,bad,0,A
M,U,T,college,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,average,low,very good,2,A
F,U,T,college,high school,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,low,low,average,0,A
F,R,T,high school,elementary,15 to 30 min,10 hours,0,no,yes,no,no,yes,no,average,very low,low,average,0,A
M,R,T,high school,junior high,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,high,low,good,0,B
M,U,T,high school,high school,<15 min,<2 hours,0,no,yes,no,no,yes,no,good,high,average,very good,0,B
F,U,T,college,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,bad,average,high,bad,2,C
F,U,T,college,high school,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,high,very high,bad,0,B
F,U,T,college,high school,<15 min,10 hours,0,no,yes,no,no,yes,no,good,average,average,average,0,A
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,yes,very bad,high,low,very bad,0,A
F,U,A,college,college,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,good,low,high,good,0,B
M,U,T,college,college,15 to 30 min,<2 hours,0,no,no,no,no,yes,no,good,very low,very low,very good,0,C
F,R,T,college,college,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,average,high,very good,0,F
F,U,T,college,junior high,15 to 30 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,average,average,average,0,A
F,U,T,high school,junior high,<15 min,10 hours,0,no,yes,no,yes,yes,no,excellent,low,low,very good,0,A
M,R,T,junior high,elementary,15 to 30 min,5 to 10 hours,1,no,no,no,yes,yes,yes,good,average,very low,very good,0,D
M,U,A,high school,junior high,<15 min,<2 hours,2,no,no,no,yes,yes,no,excellent,very high,average,very good,0,B
M,R,T,high school,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,very high,average,very good,0,D
F,U,T,elementary,college,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,average,high,high,very good,2,D
F,U,T,junior high,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,average,average,very bad,2,B
F,U,T,junior high,high school,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,low,very low,average,2,B
F,R,T,college,college,<15 min,<2 hours,0,no,no,no,yes,yes,no,good,high,high,very good,2,A
F,U,T,college,high school,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,average,high,very good,2,A
F,U,T,college,high school,15 to 30 min,<2 hours,0,no,yes,no,no,yes,no,average,low,high,very bad,8,B
F,R,T,high school,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,good,average,high,very good,2,A
F,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,very low,high,average,8,B
M,U,T,college,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,excellent,high,high,very bad,9,D
F,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,high,very good,0,C
F,U,T,high school,college,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,excellent,high,high,very bad,4,B
F,U,T,college,college,<15 min,<2 hours,0,no,no,no,yes,yes,no,excellent,average,high,very good,2,A
F,U,A,college,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,excellent,low,low,very good,14,A
F,U,A,high school,high school,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,no,excellent,average,average,very good,0,C
F,U,T,junior high,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,low,average,bad,2,B
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,no,good,low,very high,very good,2,F
F,U,T,elementary,elementary,30 min to 1 hr,5 to 10 hours,0,no,no,no,yes,no,yes,very bad,very high,very high,very good,12,D
F,U,A,elementary,elementary,30 min to 1 hr,2 to 5 hours,2,no,yes,no,no,yes,yes,excellent,average,high,good,2,F
F,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,good,average,very high,very good,2,D
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,low,low,average,4,C
F,R,T,junior high,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,average,average,low,average,0,D
F,U,T,high school,elementary,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,average,high,average,very good,0,A
F,U,T,none,junior high,15 to 30 min,5 to 10 hours,0,no,no,no,no,yes,no,average,average,average,bad,0,B
F,U,T,elementary,elementary,15 to 30 min,5 to 10 hours,0,no,no,no,yes,yes,no,good,very high,very high,bad,0,B
M,U,T,college,college,<15 min,5 to 10 hours,0,no,no,no,yes,yes,no,good,average,average,average,0,C
M,U,T,high school,high school,<15 min,<2 hours,0,no,no,no,yes,yes,no,good,average,very high,very good,0,A
M,R,T,junior high,junior high,>1 hour,<2 hours,0,no,yes,no,no,yes,no,good,high,very high,good,2,D
F,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,high,high,good,0,C
F,U,T,college,college,15 to 30 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,average,average,good,4,B
F,U,T,high school,high school,<15 min,<2 hours,0,no,yes,yes,yes,yes,no,good,low,very high,very good,2,D
M,U,T,junior high,junior high,<15 min,10 hours,0,no,yes,yes,yes,yes,no,good,very high,very high,very good,0,C
M,R,T,high school,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,yes,excellent,average,high,very good,0,D
F,U,T,junior high,junior high,>1 hour,2 to 5 hours,0,no,no,no,yes,yes,yes,good,low,very high,bad,2,F
F,R,T,junior high,college,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,high,average,very good,0,B
M,U,T,junior high,junior high,<15 min,<2 hours,0,no,no,no,no,yes,no,excellent,high,low,very good,6,B
F,U,T,high school,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,excellent,average,high,good,8,C
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,average,average,bad,0,F
F,R,T,junior high,junior high,15 to 30 min,10 hours,0,no,no,no,yes,yes,no,good,high,high,good,6,B
F,U,T,high school,college,<15 min,5 to 10 hours,0,no,no,no,no,yes,no,good,high,very high,very good,8,B
F,U,T,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,average,low,bad,0,B
F,U,T,high school,high school,<15 min,10 hours,0,no,yes,no,no,yes,no,excellent,average,average,very bad,4,B
F,R,A,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,average,bad,0,A
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,average,bad,0,C
M,U,T,high school,college,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,average,average,very good,6,A
F,U,A,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,average,average,very low,good,18,B
F,U,T,junior high,high school,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,average,average,average,0,B
F,U,T,high school,junior high,<15 min,5 to 10 hours,0,no,no,no,no,yes,yes,excellent,high,average,very bad,4,A
M,R,T,college,high school,<15 min,5 to 10 hours,0,no,no,no,no,yes,yes,excellent,average,low,good,4,A
M,U,T,college,high school,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,excellent,high,very high,very good,0,B
F,U,T,college,high school,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,high,average,good,0,C
F,U,T,junior high,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,average,high,very bad,10,B
F,U,T,junior high,elementary,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,very high,good,4,A
F,U,A,junior high,high school,15 to 30 min,<2 hours,1,no,no,no,no,no,no,bad,low,average,very good,16,D
F,U,T,high school,elementary,<15 min,<2 hours,1,no,yes,yes,no,yes,yes,good,very low,low,average,6,C
F,U,T,college,college,<15 min,5 to 10 hours,2,no,no,yes,yes,yes,no,average,average,low,very good,0,C
M,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,no,no,good,high,high,average,11,C
M,U,A,high school,college,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,average,very high,bad,9,B
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,high,good,0,A
M,U,A,college,college,<15 min,5 to 10 hours,0,no,yes,no,no,yes,no,good,high,low,good,2,B
F,U,T,college,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,low,low,average,0,A
M,R,T,elementary,elementary,15 to 30 min,2 to 5 hours,2,no,yes,no,yes,no,yes,excellent,average,average,good,21,D
F,R,T,elementary,elementary,15 to 30 min,5 to 10 hours,0,no,no,no,no,yes,yes,average,low,low,average,8,B
F,U,T,college,college,<15 min,<2 hours,1,no,yes,no,no,yes,yes,average,low,very high,very good,5,D
M,U,A,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,high,very good,10,A
F,U,T,high school,junior high,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,average,high,bad,5,A
M,R,T,junior high,high school,<15 min,<2 hours,0,no,no,no,no,yes,no,average,very low,average,good,13,B
M,U,T,junior high,elementary,<15 min,<2 hours,0,no,no,no,no,yes,no,excellent,average,high,good,10,D
F,U,A,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,very low,high,good,10,A
F,U,T,elementary,none,15 to 30 min,<2 hours,1,yes,no,no,no,yes,yes,excellent,average,very low,very good,5,D
F,U,T,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,average,very low,low,very bad,4,C
F,U,T,elementary,high school,15 to 30 min,<2 hours,0,no,yes,no,no,no,yes,good,average,average,very good,11,D
F,R,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,high,high,very good,0,C
F,R,T,elementary,elementary,<15 min,<2 hours,1,no,yes,no,no,yes,yes,good,very low,average,bad,6,D
F,R,T,high school,high school,15 to 30 min,<2 hours,0,no,yes,no,no,yes,no,excellent,high,high,very good,4,D
F,R,T,junior high,high school,15 to 30 min,2 to 5 hours,0,no,no,no,no,yes,no,good,very high,low,very good,0,A
F,R,T,junior high,elementary,15 to 30 min,<2 hours,0,no,no,no,no,no,no,very bad,average,high,very bad,0,F
M,R,A,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,average,low,bad,5,D
M,U,A,elementary,junior high,<15 min,5 to 10 hours,0,yes,no,no,no,yes,no,good,high,average,very good,0,D
F,R,T,high school,junior high,<15 min,2 to 5 hours,1,no,no,no,no,yes,yes,good,very high,high,very good,0,D
F,R,T,elementary,elementary,<15 min,<2 hours,1,no,yes,no,no,no,no,excellent,high,high,very good,0,F
F,R,T,college,college,15 to 30 min,<2 hours,0,no,no,no,no,yes,yes,very bad,very high,very low,very good,0,B
F,U,A,junior high,junior high,15 to 30 min,10 hours,0,no,no,no,yes,no,yes,very bad,low,very low,very bad,4,F
F,R,T,elementary,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,high,average,good,0,D
F,R,T,elementary,elementary,15 to 30 min,<2 hours,1,no,yes,no,no,yes,yes,good,high,average,bad,4,F
F,R,T,none,junior high,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,no,average,low,average,bad,0,C
F,R,T,junior high,high school,15 to 30 min,<2 hours,0,no,yes,no,no,yes,no,excellent,very high,very high,average,2,C
F,R,T,high school,high school,15 to 30 min,<2 hours,0,no,no,no,no,yes,no,good,very low,average,good,0,A
M,U,T,elementary,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,excellent,high,very high,average,0,F
M,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,no,yes,no,yes,no,good,high,average,very good,4,F
M,R,T,college,elementary,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,average,high,bad,0,B
M,R,T,college,elementary,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,average,high,bad,7,F
M,R,T,high school,college,30 min to 1 hr,2 to 5 hours,0,no,no,no,no,yes,no,average,high,very high,very good,4,D
M,R,T,elementary,elementary,>1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,excellent,high,very high,good,8,F
M,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,average,average,very good,0,D
M,R,T,junior high,elementary,30 min to 1 hr,<2 hours,0,no,no,no,yes,no,yes,excellent,very high,very high,average,8,A
F,R,T,college,college,15 to 30 min,5 to 10 hours,0,no,no,no,yes,yes,yes,good,low,low,good,6,A
F,R,T,elementary,junior high,15 to 30 min,<2 hours,0,no,no,no,no,yes,no,excellent,very low,low,very bad,3,C
F,R,T,junior high,high school,30 min to 1 hr,2 to 5 hours,0,no,yes,no,no,yes,no,good,very high,high,very bad,2,B
M,R,T,elementary,junior high,15 to 30 min,2 to 5 hours,0,no,no,no,no,yes,no,good,average,average,very good,0,D
F,R,T,junior high,junior high,30 min to 1 hr,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,very high,good,4,D
F,U,T,elementary,junior high,<15 min,5 to 10 hours,1,no,yes,no,no,yes,no,very bad,average,low,good,0,F
F,U,T,elementary,junior high,<15 min,5 to 10 hours,1,no,yes,no,no,yes,no,very bad,average,low,good,3,F
F,U,T,junior high,elementary,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,no,good,high,low,bad,0,A
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,excellent,high,average,bad,0,B
M,R,T,elementary,junior high,<15 min,<2 hours,0,no,yes,no,yes,yes,no,excellent,very high,very high,average,4,D
F,R,T,elementary,elementary,>1 hour,10 hours,0,no,yes,no,no,yes,no,good,average,low,very bad,0,C
F,R,T,elementary,elementary,>1 hour,5 to 10 hours,0,yes,yes,no,no,yes,no,good,high,average,very good,2,F
F,R,T,elementary,elementary,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,average,bad,1,D
F,R,T,elementary,elementary,15 to 30 min,<2 hours,0,no,no,no,yes,yes,yes,good,low,low,bad,0,B
F,R,T,elementary,elementary,30 min to 1 hr,2 to 5 hours,0,no,yes,no,no,yes,no,good,low,very low,bad,0,B
F,R,T,junior high,junior high,<15 min,5 to 10 hours,0,yes,yes,no,no,yes,no,good,high,average,very good,2,C
M,R,T,elementary,elementary,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,average,high,high,very good,6,D
F,U,T,elementary,junior high,<15 min,2 to 5 hours,1,no,yes,no,yes,yes,yes,average,high,high,very good,9,F
M,U,T,high school,elementary,15 to 30 min,<2 hours,0,no,yes,no,no,yes,no,average,low,average,good,0,F
F,R,T,junior high,junior high,30 min to 1 hr,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,average,high,bad,1,B
M,U,T,junior high,junior high,30 min to 1 hr,<2 hours,0,no,no,no,no,yes,no,good,average,average,good,1,C
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,average,very low,average,0,C
F,R,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,very high,high,very bad,4,C
F,R,T,junior high,junior high,15 to 30 min,2 to 5 hours,1,no,yes,no,yes,yes,no,good,high,high,very good,2,C
F,R,T,junior high,junior high,30 min to 1 hr,<2 hours,0,no,yes,no,yes,yes,yes,good,average,low,good,0,A
M,U,T,junior high,elementary,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,no,bad,high,average,good,4,F
M,R,T,elementary,high school,30 min to 1 hr,<2 hours,0,no,yes,no,yes,yes,no,good,low,high,average,2,D
F,U,T,junior high,junior high,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,average,low,good,0,B
F,R,T,junior high,elementary,<15 min,<2 hours,0,no,yes,no,no,yes,yes,excellent,high,average,very good,2,F
M,U,T,high school,high school,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,no,good,average,average,average,11,D
F,R,T,elementary,elementary,15 to 30 min,2 to 5 hours,3,yes,yes,no,no,yes,no,average,high,average,very bad,0,F
F,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,yes,no,no,good,very high,average,very good,4,F
F,U,T,junior high,high school,<15 min,<2 hours,1,no,no,no,no,no,yes,good,high,high,bad,0,F
F,R,T,junior high,elementary,30 min to 1 hr,<2 hours,0,no,yes,no,yes,no,yes,excellent,very high,average,average,2,D
F,R,T,elementary,elementary,15 to 30 min,<2 hours,0,no,yes,no,no,no,yes,excellent,low,very low,good,0,A
F,R,T,junior high,junior high,30 min to 1 hr,2 to 5 hours,0,no,yes,no,no,no,no,average,high,very high,very bad,1,D
F,U,A,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,no,no,good,average,high,very bad,6,F
F,R,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,very high,good,0,D
F,U,T,junior high,junior high,<15 min,<2 hours,1,no,yes,yes,yes,yes,no,good,high,average,average,1,D
